0,4;0,438;0,478;0,513;0,535;0,559;0,579;0,598;0,616;0,637;0,652;0,667;0,677
0,397;0,438;0,475;0,511;0,532;0,564;0,579;0,604;0,618;0,638;0,65;0,667;0,677
0,4;0,44;0,474;0,507;0,535;0,559;0,58;0,603;0,619;0,64;0,652;0,668;0,678
0,399;0,437;0,476;0,51;0,534;0,563;0,579;0,598;0,62;0,637;0,65;0,667;0,678
0,401;0,44;0,474;0,512;0,537;0,562;0,582;0,597;0,619;0,638;0,65;0,667;0,678
0,4;0,442;0,473;0,511;0,534;0,549;0,582;0,602;0,617;0,639;0,649;0,668;0,678
0,398;0,441;0,475;0,51;0,536;0,555;0,584;0,606;0,619;0,637;0,652;0,666;0,68
0,4;0,441;0,476;0,508;0,535;0,557;0,58;0,6;0,621;0,64;0,653;0,665;0,677
0,399;0,439;0,473;0,508;0,534;0,559;0,581;0,599;0,618;0,639;0,653;0,666;0,677
0,398;0,441;0,474;0,507;0,537;0,56;0,579;0,602;0,62;0,637;0,653;0,665;0,677
0,401;0,439;0,476;0,508;0,534;0,56;0,582;0,606;0,618;0,64;0,651;0,666;0,676
0,398;0,441;0,475;0,507;0,536;0,562;0,583;0,601;0,62;0,638;0,649;0,666;0,678
0,399;0,44;0,473;0,505;0,535;0,56;0,581;0,598;0,619;0,638;0,65;0,665;0,676
0,398;0,441;0,475;0,505;0,533;0,561;0,582;0,6;0,621;0,64;0,651;0,666;0,678
0,399;0,441;0,476;0,507;0,537;0,562;0,581;0,607;0,618;0,637;0,652;0,665;0,678
0,399;0,439;0,473;0,509;0,536;0,561;0,579;0,601;0,621;0,635;0,651;0,666;0,678
0,398;0,443;0,472;0,508;0,533;0,56;0,582;0,6;0,618;0,638;0,649;0,665;0,679
0,401;0,44;0,473;0,508;0,536;0,563;0,584;0,6;0,621;0,639;0,649;0,665;0,679
0,397;0,442;0,475;0,508;0,536;0,561;0,58;0,603;0,619;0,638;0,653;0,664;0,679
0,398;0,44;0,475;0,507;0,534;0,562;0,579;0,607;0,62;0,636;0,654;0,665;0,679
0,399;0,437;0,475;0,506;0,536;0,563;0,581;0,6;0,617;0,636;0,653;0,663;0,68
0,397;0,438;0,473;0,507;0,534;0,56;0,581;0,599;0,62;0,639;0,651;0,665;0,679
0,4;0,437;0,474;0,51;0,533;0,563;0,583;0,603;0,618;0,64;0,652;0,664;0,679
0,401;0,439;0,476;0,51;0,535;0,561;0,583;0,606;0,62;0,639;0,653;0,663;0,681
0,399;0,44;0,476;0,509;0,535;0,561;0,579;0,602;0,619;0,635;0,652;0,666;0,68
0,397;0,437;0,477;0,507;0,536;0,562;0,581;0,6;0,619;0,638;0,651;0,664;0,682
0,397;0,438;0,473;0,507;0,532;0,561;0,58;0,6;0,618;0,639;0,654;0,665;0,68
0,4;0,438;0,475;0,509;0,535;0,562;0,583;0,603;0,621;0,636;0,653;0,666;0,679
0,4;0,439;0,474;0,51;0,533;0,561;0,584;0,605;0,62;0,637;0,65;0,665;0,681
0,402;0,44;0,471;0,511;0,535;0,562;0,58;0,6;0,621;0,637;0,652;0,667;0,68
0,4;0,437;0,472;0,51;0,532;0,561;0,581;0,598;0,618;0,633;0,651;0,665;0,679
0,398;0,438;0,475;0,511;0,535;0,561;0,579;0,599;0,62;0,636;0,651;0,666;0,68
0,398;0,441;0,473;0,511;0,534;0,561;0,584;0,602;0,619;0,636;0,653;0,666;0,681
0,399;0,436;0,473;0,51;0,534;0,56;0,583;0,604;0,622;0,636;0,651;0,665;0,68
0,4;0,438;0,474;0,509;0,536;0,561;0,581;0,599;0,619;0,638;0,653;0,667;0,68
0,399;0,44;0,471;0,508;0,534;0,562;0,581;0,597;0,62;0,636;0,652;0,665;0,681
0,402;0,436;0,474;0,508;0,537;0,56;0,579;0,597;0,618;0,635;0,651;0,667;0,68
0,4;0,44;0,473;0,508;0,535;0,561;0,584;0,601;0,62;0,638;0,653;0,665;0,679
0,4;0,44;0,471;0,507;0,538;0,562;0,584;0,605;0,62;0,638;0,653;0,665;0,679
0,401;0,436;0,472;0,506;0,537;0,56;0,584;0,601;0,619;0,636;0,65;0,666;0,679
0,402;0,44;0,471;0,507;0,536;0,562;0,581;0,598;0,617;0,638;0,652;0,664;0,679
0,399;0,439;0,471;0,507;0,538;0,56;0,582;0,6;0,618;0,637;0,654;0,665;0,679
0,395;0,436;0,474;0,505;0,536;0,561;0,58;0,603;0,616;0,634;0,654;0,666;0,68
0,396;0,438;0,472;0,507;0,535;0,562;0,583;0,604;0,621;0,635;0,652;0,663;0,679
0,397;0,439;0,471;0,508;0,538;0,559;0,583;0,6;0,619;0,637;0,653;0,664;0,679
0,399;0,438;0,473;0,508;0,537;0,562;0,582;0,598;0,619;0,635;0,654;0,667;0,679
0,398;0,437;0,474;0,507;0,534;0,561;0,582;0,6;0,62;0,636;0,653;0,664;0,68
0,396;0,434;0,474;0,507;0,536;0,558;0,578;0,604;0,618;0,637;0,651;0,662;0,679
0,398;0,436;0,475;0,509;0,537;0,561;0,582;0,603;0,619;0,634;0,65;0,663;0,679
0,399;0,438;0,475;0,507;0,535;0,559;0,582;0,599;0,622;0,636;0,652;0,663;0,679
0,401;0,437;0,475;0,505;0,535;0,562;0,582;0,598;0,619;0,638;0,653;0,664;0,68
0,399;0,439;0,474;0,505;0,537;0,56;0,582;0,598;0,618;0,634;0,653;0,665;0,68
0,398;0,438;0,472;0,507;0,536;0,558;0,579;0,599;0,62;0,637;0,651;0,662;0,68
0,398;0,436;0,472;0,507;0,534;0,562;0,581;0,602;0,619;0,634;0,652;0,666;0,68
0,398;0,438;0,474;0,507;0,536;0,557;0,583;0,603;0,622;0,636;0,655;0,664;0,679
0,4;0,436;0,473;0,506;0,539;0,561;0,582;0,599;0,619;0,635;0,654;0,665;0,68
0,397;0,433;0,471;0,507;0,537;0,558;0,582;0,598;0,619;0,635;0,652;0,664;0,681
0,399;0,436;0,474;0,506;0,535;0,561;0,582;0,598;0,62;0,635;0,652;0,659;0,68
0,399;0,435;0,472;0,506;0,533;0,56;0,581;0,6;0,621;0,634;0,655;0,662;0,681
0,402;0,434;0,473;0,506;0,537;0,56;0,586;0,603;0,62;0,636;0,654;0,661;0,681
0,398;0,436;0,473;0,506;0,536;0,559;0,584;0,604;0,618;0,635;0,651;0,663;0,68
0,399;0,436;0,472;0,507;0,534;0,561;0,581;0,603;0,62;0,637;0,654;0,663;0,681
0,399;0,434;0,474;0,507;0,536;0,558;0,582;0,599;0,619;0,635;0,655;0,66;0,682
0,398;0,435;0,471;0,506;0,534;0,562;0,581;0,6;0,622;0,636;0,652;0,663;0,68
0,395;0,435;0,472;0,505;0,535;0,559;0,584;0,601;0,619;0,635;0,654;0,666;0,682
0,395;0,437;0,473;0,508;0,537;0,559;0,583;0,603;0,62;0,638;0,655;0,665;0,681
0,398;0,437;0,47;0,51;0,536;0,561;0,579;0,604;0,618;0,636;0,652;0,669;0,681
0,401;0,439;0,472;0,508;0,537;0,559;0,582;0,604;0,62;0,635;0,651;0,661;0,682
0,398;0,437;0,472;0,506;0,533;0,557;0,583;0,6;0,621;0,637;0,655;0,663;0,68
0,395;0,434;0,47;0,506;0,535;0,558;0,58;0,6;0,619;0,635;0,655;0,661;0,681
0,397;0,437;0,473;0,504;0,537;0,559;0,58;0,599;0,62;0,636;0,654;0,692;0,681
0,4;0,438;0,47;0,506;0,535;0,555;0,577;0,6;0,618;0,638;0,652;0,685;0,679
0,395;0,436;0,47;0,509;0,536;0,56;0,583;0,602;0,621;0,635;0,651;0,671;0,68
0,396;0,435;0,472;0,507;0,538;0,558;0,581;0,604;0,621;0,635;0,654;0,661;0,68
0,397;0,437;0,472;0,504;0,538;0,557;0,582;0,604;0,621;0,638;0,655;0,663;0,679
0,398;0,437;0,47;0,505;0,535;0,558;0,579;0,599;0,618;0,635;0,653;0,662;0,679
0,395;0,437;0,473;0,505;0,534;0,559;0,582;0,598;0,62;0,634;0,652;0,662;0,68
0,397;0,438;0,475;0,506;0,536;0,552;0,582;0,597;0,62;0,636;0,654;0,666;0,68
0,397;0,436;0,475;0,508;0,539;0,558;0,582;0,597;0,62;0,636;0,655;0,664;0,68
0,397;0,434;0,474;0,504;0,537;0,558;0,582;0,598;0,62;0,634;0,653;0,666;0,679
0,394;0,434;0,471;0,506;0,535;0,558;0,579;0,598;0,616;0,638;0,653;0,666;0,68
0,396;0,435;0,471;0,509;0,533;0,56;0,582;0,601;0,62;0,636;0,655;0,665;0,68
0,397;0,436;0,471;0,505;0,532;0,559;0,583;0,601;0,617;0,634;0,653;0,665;0,679
0,395;0,435;0,472;0,506;0,534;0,559;0,581;0,6;0,62;0,634;0,653;0,663;0,679
0,398;0,437;0,472;0,506;0,534;0,559;0,582;0,599;0,619;0,637;0,655;0,667;0,679
0,395;0,438;0,472;0,506;0,534;0,559;0,578;0,598;0,617;0,636;0,652;0,665;0,679
0,396;0,438;0,474;0,508;0,533;0,559;0,581;0,596;0,618;0,635;0,654;0,664;0,679
0,398;0,437;0,474;0,504;0,536;0,559;0,58;0,597;0,616;0,635;0,651;0,664;0,679
0,395;0,438;0,473;0,505;0,536;0,561;0,584;0,599;0,618;0,637;0,652;0,662;0,68
0,395;0,439;0,472;0,508;0,534;0,559;0,58;0,6;0,62;0,637;0,652;0,663;0,68
0,397;0,438;0,472;0,507;0,533;0,561;0,578;0,601;0,617;0,636;0,654;0,661;0,68
0,396;0,436;0,473;0,509;0,532;0,559;0,58;0,604;0,619;0,636;0,654;0,664;0,68
0,394;0,437;0,473;0,507;0,532;0,56;0,582;0,603;0,618;0,638;0,655;0,664;0,681
0,396;0,438;0,473;0,508;0,534;0,559;0,581;0,603;0,618;0,638;0,655;0,666;0,681
0,398;0,437;0,472;0,505;0,535;0,561;0,578;0,603;0,621;0,637;0,657;0,665;0,68
0,397;0,436;0,472;0,505;0,535;0,56;0,579;0,602;0,62;0,635;0,654;0,666;0,681
0,397;0,437;0,472;0,507;0,534;0,559;0,584;0,601;0,617;0,636;0,655;0,666;0,68
0,396;0,437;0,473;0,504;0,533;0,562;0,579;0,601;0,619;0,638;0,654;0,666;0,679
0,396;0,437;0,474;0,506;0,532;0,557;0,579;0,602;0,617;0,637;0,653;0,666;0,68
0,394;0,436;0,473;0,504;0,532;0,562;0,579;0,601;0,618;0,635;0,653;0,668;0,68
